Year,Month,Anomaly
1850,1,11.554
1850,2,12.298
1850,3,12.747
1850,4,13.441
1850,5,14.396
1850,6,15.385
1850,7,15.833
1850,8,15.672
1850,9,14.815
1850,10,13.717
1850,11,12.726
1850,12,12.088
1851,1,12.146
1851,2,12.102
1851,3,12.557
1851,4,13.412
1851,5,14.69
1851,6,15.478
1851,7,15.788
1851,8,15.525
1851,9,14.85
1851,10,14.162
1851,11,12.922
1851,12,12.429
1852,1,12.064
1852,2,12
1852,3,12.359
1852,4,13.515
1852,5,14.869
1852,6,15.617
1852,7,15.965
1852,8,15.482
1852,9,14.934
1852,10,14.143
1852,11,12.76
1852,12,12.658
1853,1,11.966
1853,2,12.153
1853,3,12.72
1853,4,13.764
1853,5,14.751
1853,6,15.556
1853,7,16.037
1853,8,15.774
1853,9,14.836
1853,10,13.835
1853,11,12.647
1853,12,12.25
1854,1,11.759
1854,2,11.922
1854,3,12.84
1854,4,13.634
1854,5,14.731
1854,6,15.26
1854,7,15.819
1854,8,15.631
1854,9,14.977
1854,10,14.419
1854,11,13.059
1854,12,12.362
1855,1,12.274
1855,2,12.392
1855,3,12.847
1855,4,13.953
1855,5,14.786
1855,6,15.388
1855,7,15.623
1855,8,15.577
1855,9,14.752
1855,10,13.995
1855,11,12.906
1855,12,12.021
1856,1,12.328
1856,2,12.111
1856,3,12.701
1856,4,13.622
1856,5,14.671
1856,6,15.596
1856,7,15.748
1856,8,15.299
1856,9,14.511
1856,10,13.627
1856,11,12.727
1856,12,12.141
1857,1,11.786
1857,2,11.966
1857,3,12.485
1857,4,13.21
1857,5,14.25
1857,6,15.162
1857,7,15.486
1857,8,15.362
1857,9,14.741
1857,10,13.771
1857,11,12.797
1857,12,12.342
1858,1,12.091
1858,2,12.015
1858,3,12.804
1858,4,13.752
1858,5,14.603
1858,6,15.461
1858,7,15.677
1858,8,15.499
1858,9,14.745
1858,10,14.026
1858,11,13.116
1858,12,12.081
1859,1,11.954
1859,2,12.216
1859,3,12.882
1859,4,14.042
1859,5,15.025
1859,6,15.612
1859,7,15.684
1859,8,15.467
1859,9,14.703
1859,10,14.063
1859,11,13.116
1859,12,12.48
1860,1,11.975
1860,2,12.197
1860,3,12.432
1860,4,13.762
1860,5,14.801
1860,6,15.527
1860,7,15.735
1860,8,15.613
1860,9,14.936
1860,10,13.957
1860,11,12.766
1860,12,11.709
1861,1,11.308
1861,2,11.854
1861,3,12.541
1861,4,13.613
1861,5,14.575
1861,6,15.36
1861,7,15.677
1861,8,15.626
1861,9,14.823
1861,10,13.84
1861,11,13.083
1861,12,12.215
1862,1,11.387
1862,2,11.74
1862,3,12.573
1862,4,13.479
1862,5,14.72
1862,6,15.405
1862,7,15.65
1862,8,15.317
1862,9,14.675
1862,10,13.837
1862,11,12.737
1862,12,11.689
1863,1,12.173
1863,2,12.386
1863,3,12.773
1863,4,13.773
1863,5,14.787
1863,6,15.378
1863,7,15.622
1863,8,15.43
1863,9,14.715
1863,10,13.811
1863,11,12.919
1863,12,12.152
1864,1,11.743
1864,2,12.116
1864,3,12.737
1864,4,13.615
1864,5,14.857
1864,6,15.626
1864,7,15.81
1864,8,15.488
1864,9,14.73
